,Game,Platform,Hours,earnings,whyplay,League,streams,Age,Work,Degree,Playstyle,SPIN_T,SWL_T,GAD_T,Social_Anxiety,Life_Satisfaction,Anxiety_Level,Narcissism,Residence,Birthplace,Residence_ISO3,Birthplace_ISO3
95,Starcraft 2,PC,8.0,I play for fun,winning,Diamond,20.0,20,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,16.0,18,5,None,Slightly Satisfied,Mild Anxiety,2.0,Germany,Germany,DEU,DEU
102,League of Legends,PC,12.0,I play for fun,winning,Gold,5.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,50.0,8,13,Severe,Extremely Satisfied,Moderate Anxiety,2.0,UK,UK,GBR,GBR
118,League of Legends,PC,30.0,I play for fun,having fun,Gold,15.0,18,Student at school,High school diploma (or equivalent),Singleplayer,40.0,9,3,Moderate,Extremely Satisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
129,League of Legends,PC,40.0,I play for fun,having fun,Diamond,15.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,7.0,27,11,None,Dissatisfied,Moderate Anxiety,2.0,Norway,Norway,NOR,NOR
165,League of Legends,PC,20.0,I play for fun,having fun,Gold,10.0,23,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,8.0,30,4,None,Dissatisfied,Minimal Anxiety,4.0,Germany,Italy,DEU,ITA
169,League of Legends,PC,13.0,I play for fun,winning,Gold,10.0,18,Student at school,None,Multiplayer - online - with real life friends,22.0,20,9,Mild,Neutral,Mild Anxiety,3.0,Canada,Canada,CAN,CAN
170,League of Legends,PC,20.0,I play for fun,improving,Gold,30.0,18,Student at school,None,Multiplayer - online - with real life friends,26.0,17,4,Mild,Slightly Satisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
173,League of Legends,PC,7.0,I play for fun,improving,Platinum,0.0,19,Student at college / university,None,Multiplayer - online - with real life friends,9.0,18,5,None,Slightly Satisfied,Mild Anxiety,2.0,Unknown,Unknown,,
186,League of Legends,PC,50.0,I play for fun,improving,Silver,10.0,18,Student at school,None,Multiplayer - online - with real life friends,21.0,25,8,Mild,Slightly Dissatisfied,Mild Anxiety,2.0,USA,USA,USA,USA
197,League of Legends,PC,10.0,I play for fun,improving,Diamond,30.0,20,Student at college / university,Master (or equivalent),Multiplayer - online - with strangers,20.0,18,7,None,Slightly Satisfied,Mild Anxiety,3.0,Spain,Spain,ESP,ESP
221,League of Legends,PC,14.0,I play for fun,improving,Platinum,12.0,18,Student at school,None,Multiplayer - online - with real life friends,22.0,15,1,Mild,Slightly Satisfied,Minimal Anxiety,2.0,Denmark,Denmark,DNK,DNK
227,Starcraft 2,PC,20.0,I play for fun,improving,Gold,20.0,25,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,18.0,23,6,None,Slightly Dissatisfied,Mild Anxiety,1.0,Germany,Germany,DEU,DEU
229,League of Legends,PC,10.0,I play for fun,having fun,Silver,6.0,30,Employed,Master (or equivalent),Multiplayer - online - with strangers,8.0,24,6,None,Slightly Dissatisfied,Mild Anxiety,1.0,Canada,China,CAN,CHN
241,League of Legends,PC,35.0,I play for fun,having fun,Diamond,15.0,21,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,1.0,10,8,None,Satisfied,Mild Anxiety,2.0,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,BIH
245,League of Legends,PC,6.0,I play for fun,having fun,Silver,1.0,23,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,8.0,30,0,None,Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
246,League of Legends,PC,35.0,I play for fun,improving,Diamond,5.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,0.0,30,1,None,Dissatisfied,Minimal Anxiety,2.0,Slovenia,Slovenia,SVN,SVN
247,League of Legends,PC,28.0,I play for fun,having fun,Platinum,6.0,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,12.0,8,5,None,Extremely Satisfied,Mild Anxiety,4.0,USA,USA,USA,USA
250,League of Legends,PC,40.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Master,10.0,29,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with strangers,2.0,10,3,None,Satisfied,Minimal Anxiety,4.0,Sweden,Sweden,SWE,SWE
251,League of Legends,PC,25.0,I play for fun,having fun,Silver,4.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,48.0,12,3,Severe,Satisfied,Minimal Anxiety,4.0,Greece,Greece,GRC,GRC
254,League of Legends,PC,16.0,I play for fun,winning,Diamond,2.0,21,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,11.0,14,2,None,Satisfied,Minimal Anxiety,3.0,Jordan,Jordan,JOR,JOR
256,League of Legends,PC,21.0,I play for fun,improving,Platinum,30.0,21,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with real life friends,39.0,9,4,Moderate,Extremely Satisfied,Minimal Anxiety,4.0,Brazil,Brazil,BRA,BRA
264,Starcraft 2,PC,6.0,I play for fun,relaxing,Bronze,3.0,19,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,59.0,17,8,Very Severe,Slightly Satisfied,Mild Anxiety,1.0,UK,UK,GBR,GBR
266,League of Legends,PC,20.0,I play for fun,winning,Gold,1.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,43.0,17,5,Severe,Slightly Satisfied,Mild Anxiety,4.0,UK,UK,GBR,GBR
271,League of Legends,PC,20.0,I play for fun,having fun,Silver,30.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,6.0,31,4,None,Extremely Dissatisfied,Minimal Anxiety,1.0,UK,UK,GBR,GBR
274,League of Legends,PC,15.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Diamond,20.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,15.0,14,2,None,Satisfied,Minimal Anxiety,3.0,Switzerland,Switzerland,CHE,CHE
277,League of Legends,PC,15.0,I play for fun,having fun,Diamond,2.0,31,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,7.0,15,0,None,Slightly Satisfied,Minimal Anxiety,1.0,Canada,Hong Kong,CAN,HKG
279,Starcraft 2,PC,28.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Grandmaster,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,2.0,14,2,None,Satisfied,Minimal Anxiety,4.0,Czech Republic,Czech Republic,CZE,CZE
280,Starcraft 2,PC,2.0,I play for fun,winning,Gold,10.0,25,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,48.0,10,17,Severe,Satisfied, Severe Anxiety,4.0,Canada,Canada,CAN,CAN
296,League of Legends,PC,28.0,I play for fun,improving,Gold,8.0,21,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with real life friends,35.0,15,1,Moderate,Slightly Satisfied,Minimal Anxiety,2.0,Italy,Italy,ITA,ITA
304,League of Legends,PC,10.0,I play for fun,having fun,Silver,20.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,60.0,33,18,Very Severe,Extremely Dissatisfied, Severe Anxiety,1.0,USA,USA,USA,USA
312,League of Legends,PC,10.0,I play for fun,having fun,Silver,10.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,4.0,28,0,None,Dissatisfied,Minimal Anxiety,1.0,Finland,Finland,FIN,FIN
324,League of Legends,PC,25.0,I play for fun,winning,Diamond,10.0,24,Employed,Master (or equivalent),Multiplayer - online - with real life friends,14.0,22,3,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Ukraine,Unknown,UKR,
325,League of Legends,PC,14.0,I play for fun,improving,Platinum,3.0,24,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with real life friends,21.0,17,8,Mild,Slightly Satisfied,Mild Anxiety,1.0,South Africa,South Africa,ZAF,ZAF
332,League of Legends,PC,42.0,I play for fun,winning,Silver,10.0,18,Student at school,None,Multiplayer - online - with real life friends,8.0,31,4,None,Extremely Dissatisfied,Minimal Anxiety,4.0,Germany,Germany,DEU,DEU
339,League of Legends,PC,12.0,I play for fun,having fun,Bronze,2.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,4.0,21,2,None,Slightly Dissatisfied,Minimal Anxiety,2.0,Canada,Canada,CAN,CAN
343,League of Legends,PC,6.0,I play for fun,having fun,Gold,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,15.0,30,1,None,Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
356,League of Legends,PC,40.0,I play for fun,improving,Silver,10.0,26,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,11.0,17,7,None,Slightly Satisfied,Mild Anxiety,2.0,Greece,Greece,GRC,GRC
369,League of Legends,PC,12.0,I play for fun,having fun,Gold,20.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,0.0,25,4,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Brazil,Argentina,BRA,ARG
371,League of Legends,PC,25.0,I play for fun,improving,Platinum,5.0,22,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,47.0,23,16,Severe,Slightly Dissatisfied, Severe Anxiety,1.0,Denmark,Denmark,DNK,DNK
374,League of Legends,PC,20.0,I play for fun,having fun,Gold,0.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,32.0,23,5,Moderate,Slightly Dissatisfied,Mild Anxiety,1.0,Germany,Germany,DEU,DEU
378,League of Legends,PC,25.0,I play for fun,relaxing,Platinum,12.0,23,Student at college / university,None,Multiplayer - online - with real life friends,13.0,11,7,None,Satisfied,Mild Anxiety,1.0,Ukraine,Ukraine,UKR,UKR
382,Starcraft 2,PC,30.0,I play for fun,winning,Master,8.0,23,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,3.0,31,14,None,Extremely Dissatisfied,Moderate Anxiety,4.0,Belgium,Belgium,BEL,BEL
393,League of Legends,PC,20.0,I play for fun,having fun,Gold,5.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,5.0,20,5,None,Neutral,Mild Anxiety,2.0,USA,USA,USA,USA
410,League of Legends,PC,10.0,I play for fun,winning,Platinum,10.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,14.0,14,2,None,Satisfied,Minimal Anxiety,2.0,Germany,Germany,DEU,DEU
411,League of Legends,PC,4.0,I play for fun,having fun,Platinum,3.0,20,Student at college / university,High school diploma (or equivalent),Singleplayer,22.0,8,14,Mild,Extremely Satisfied,Moderate Anxiety,3.0,Canada,China,CAN,CHN
415,League of Legends,PC,2.0,I play for fun,having fun,Gold,10.0,38,Employed,Master (or equivalent),Multiplayer - online - with strangers,7.0,32,1,None,Extremely Dissatisfied,Minimal Anxiety,2.0,Germany,Netherlands,DEU,NLD
421,League of Legends,PC,16.0,I play for fun,winning,Gold,4.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,29.0,25,3,Mild,Slightly Dissatisfied,Minimal Anxiety,1.0,Germany,Japan,DEU,JPN
426,Starcraft 2,PC,15.0,I play for fun,having fun,Platinum,2.0,30,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,21.0,23,8,Mild,Slightly Dissatisfied,Mild Anxiety,2.0,USA,USA,USA,USA
437,League of Legends,PC,40.0,I play for fun,improving,Gold,10.0,24,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,18.0,17,0,None,Slightly Satisfied,Minimal Anxiety,2.0,Unknown,Unknown,,
456,League of Legends,PC,10.0,I play for fun,improving,Silver,5.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,5.0,30,14,None,Dissatisfied,Moderate Anxiety,3.0,USA,USA,USA,USA
461,League of Legends,PC,35.0,I play for fun,having fun,Platinum,55.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,64.0,35,0,Very Severe,Extremely Dissatisfied,Minimal Anxiety,4.0,USA,USA,USA,USA
466,Other,PC,20.0,I play for fun,having fun,Gold,5.0,20,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,18.0,29,3,None,Dissatisfied,Minimal Anxiety,1.0,Finland,Finland,FIN,FIN
478,League of Legends,PC,20.0,I play for fun,improving,Platinum,20.0,24,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,19.0,28,2,None,Dissatisfied,Minimal Anxiety,1.0,Belgium,Belgium,BEL,BEL
485,Hearthstone,PC,20.0,I play for fun,having fun,Silver,20.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,19.0,18,14,None,Slightly Satisfied,Moderate Anxiety,1.0,Netherlands,Netherlands,NLD,NLD
486,League of Legends,PC,20.0,I play for fun,having fun,Silver,20.0,22,Student at college / university,Bachelor (or equivalent),Singleplayer,13.0,16,4,None,Slightly Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
499,League of Legends,PC,10.0,I play for fun,having fun,Silver,10.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,4.0,24,1,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Portugal,Portugal,PRT,PRT
505,League of Legends,PC,30.0,I play for fun,having fun,Gold,30.0,22,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,4.0,9,1,None,Extremely Satisfied,Minimal Anxiety,5.0,Canada,Canada,CAN,CAN
511,League of Legends,PC,12.0,I play for fun,winning,Gold,2.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,9.0,17,12,None,Slightly Satisfied,Moderate Anxiety,3.0,Canada,Canada,CAN,CAN
513,League of Legends,PC,5.0,I play for fun,having fun,Gold,20.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,27.0,16,4,Mild,Slightly Satisfied,Minimal Anxiety,2.0,Germany,Germany,DEU,DEU
519,League of Legends,PC,10.0,I play for fun,having fun,Gold,15.0,24,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,21.0,18,2,Mild,Slightly Satisfied,Minimal Anxiety,1.0,Netherlands,Netherlands,NLD,NLD
525,League of Legends,PC,30.0,I play for fun,winning,Platinum,20.0,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",Multiplayer - online - with strangers,14.0,27,8,None,Dissatisfied,Mild Anxiety,1.0,UK,UK,GBR,GBR
526,League of Legends,PC,20.0,I play for fun,having fun,Gold,5.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,8.0,18,2,None,Slightly Satisfied,Minimal Anxiety,2.0,Netherlands,Unknown,NLD,
527,League of Legends,PC,40.0,I play for fun,improving,Gold,12.0,23,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,39.0,15,7,Moderate,Slightly Satisfied,Mild Anxiety,1.0,UK,UK,GBR,GBR
529,League of Legends,PC,29.0,I play for fun,having fun,Silver,0.0,20,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,3.0,27,4,None,Dissatisfied,Minimal Anxiety,1.0,Canada,Canada,CAN,CAN
530,Other,PC,21.0,I play for fun,improving,Gold,16.0,18,Student at school,None,Multiplayer - online - with real life friends,29.0,11,6,Mild,Satisfied,Mild Anxiety,3.0,Norway,Norway,NOR,NOR
543,League of Legends,PC,10.0,I play for fun,improving,Gold,3.0,26,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,0.0,29,6,None,Dissatisfied,Mild Anxiety,2.0,Sweden,Sweden,SWE,SWE
546,League of Legends,PC,20.0,I play for fun,having fun,Platinum,2.0,22,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,3.0,22,5,None,Slightly Dissatisfied,Mild Anxiety,1.0,USA,USA,USA,USA
550,League of Legends,PC,15.0,I play for fun,winning,Bronze,0.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,40.0,11,12,Moderate,Satisfied,Moderate Anxiety,4.0,USA,Mexico,USA,MEX
556,League of Legends,PC,21.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",relaxing,Diamond,4.0,27,Employed,Bachelor (or equivalent),Multiplayer - online - with real life friends,18.0,30,5,None,Dissatisfied,Mild Anxiety,2.0,Belgium,Belgium,BEL,BEL
577,Starcraft 2,PC,80.0,I play for fun,improving,Diamond,7.0,21,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,17.0,15,7,None,Slightly Satisfied,Mild Anxiety,1.0,Australia,Australia,AUS,AUS
584,League of Legends,PC,30.0,I play for fun,improving,Silver,10.0,18,Student at school,None,Multiplayer - online - with strangers,11.0,10,10,None,Satisfied,Moderate Anxiety,1.0,Netherlands,Netherlands,NLD,NLD
585,League of Legends,PC,15.0,I play for fun,having fun,Diamond,15.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,27.0,30,1,Mild,Dissatisfied,Minimal Anxiety,1.0,Switzerland,Switzerland,CHE,CHE
593,League of Legends,PC,22.0,I play for fun,having fun,Gold,4.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,3.0,16,0,None,Slightly Satisfied,Minimal Anxiety,4.0,Ireland,Ireland,IRL,IRL
598,League of Legends,PC,30.0,I play for fun,having fun,Silver,15.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,9.0,25,4,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
601,League of Legends,PC,28.0,I play for fun,improving,Platinum,4.0,20,Student at college / university,None,Multiplayer - online - with online acquaintances or teammates,5.0,23,8,None,Slightly Dissatisfied,Mild Anxiety,1.0,UK,UK,GBR,GBR
603,League of Legends,PC,20.0,I play for fun,improving,Diamond,2.0,20,Student at college / university,High school diploma (or equivalent),Singleplayer,35.0,5,6,Moderate,Extremely Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
612,League of Legends,PC,20.0,I play for fun,winning,Gold,8.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,15.0,9,2,None,Extremely Satisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
621,League of Legends,PC,21.0,I play for fun,having fun,Platinum,10.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,27.0,12,10,Mild,Satisfied,Moderate Anxiety,4.0,USA,USA,USA,USA
634,League of Legends,PC,40.0,I play for fun,improving,Platinum,10.0,21,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with real life friends,19.0,13,9,None,Satisfied,Mild Anxiety,2.0,Norway,Norway,NOR,NOR
637,League of Legends,PC,14.0,I play for fun,having fun,Gold,10.0,21,Student at college / university,None,Multiplayer - online - with real life friends,14.0,10,2,None,Satisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
640,League of Legends,PC,15.0,I play for fun,improving,Platinum,5.0,22,Employed,Bachelor (or equivalent),Multiplayer - online - with strangers,31.0,10,11,Moderate,Satisfied,Moderate Anxiety,2.0,UK,UK,GBR,GBR
653,League of Legends,PC,14.0,I play for fun,having fun,Gold,4.0,25,Unemployed / between jobs,Bachelor (or equivalent),Multiplayer - online - with real life friends,3.0,9,7,None,Extremely Satisfied,Mild Anxiety,1.0,Lithuania,Lithuania,LTU,LTU
665,League of Legends,PC,20.0,I play for fun,winning,Gold,12.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,7.0,29,1,None,Dissatisfied,Minimal Anxiety,5.0,Belarus,Belarus,BLR,BLR
671,League of Legends,PC,21.0,I play for fun,winning,Gold,16.0,24,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,16.0,13,5,None,Satisfied,Mild Anxiety,4.0,Germany,Germany,DEU,DEU
672,Starcraft 2,PC,8.0,I play for fun,improving,Gold,10.0,20,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,24.0,28,4,Mild,Dissatisfied,Minimal Anxiety,1.0,Canada,Canada,CAN,CAN
674,League of Legends,PC,15.0,I play for fun,improving,Silver,15.0,25,Employed,Bachelor (or equivalent),Multiplayer - online - with online acquaintances or teammates,16.0,24,1,None,Slightly Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
676,League of Legends,PC,40.0,I play for fun,improving,Gold,20.0,24,Student at college / university,High school diploma (or equivalent),Singleplayer,28.0,14,21,Mild,Satisfied, Severe Anxiety,1.0,Italy,UK,ITA,GBR
678,League of Legends,PC,50.0,I play for fun,winning,Platinum,20.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,25.0,9,4,Mild,Extremely Satisfied,Minimal Anxiety,3.0,Greece,Greece,GRC,GRC
688,League of Legends,PC,16.0,I play for fun,winning,Platinum,5.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,20.0,13,7,None,Satisfied,Mild Anxiety,3.0,Germany,Germany,DEU,DEU
689,League of Legends,PC,20.0,I play for fun,having fun,Silver,3.0,23,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,13.0,29,4,None,Dissatisfied,Minimal Anxiety,2.0,Germany,Germany,DEU,DEU
693,League of Legends,PC,3.0,I play for fun,having fun,Gold,5.0,28,Employed,Master (or equivalent),Multiplayer - online - with strangers,15.0,23,5,None,Slightly Dissatisfied,Mild Anxiety,1.0,Poland,Poland,POL,POL
697,League of Legends,PC,15.0,I play for fun,winning,Gold,5.0,23,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,3.0,30,5,None,Dissatisfied,Mild Anxiety,1.0,Australia,Australia,AUS,AUS
709,League of Legends,PC,30.0,I play for fun,having fun,Master,10.0,19,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,18.0,22,0,None,Slightly Dissatisfied,Minimal Anxiety,3.0,Germany,Germany,DEU,DEU
710,League of Legends,PC,20.0,I play for fun,having fun,Diamond,10.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,14.0,18,0,None,Slightly Satisfied,Minimal Anxiety,3.0,Poland,Poland,POL,POL
715,League of Legends,PC,12.0,I play for fun,improving,Bronze,5.0,18,Student at school,None,Multiplayer - online - with online acquaintances or teammates,4.0,13,0,None,Satisfied,Minimal Anxiety,2.0,UK,UK,GBR,GBR
737,League of Legends,PC,35.0,I play for fun,winning,Silver,35.0,26,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with strangers,23.0,16,13,Mild,Slightly Satisfied,Moderate Anxiety,3.0,USA,USA,USA,USA
738,League of Legends,PC,25.0,I play for fun,having fun,Platinum,0.0,22,Employed,Master (or equivalent),Multiplayer - online - with real life friends,4.0,31,1,None,Extremely Dissatisfied,Minimal Anxiety,4.0,Spain,Spain,ESP,ESP
742,League of Legends,PC,35.0,I play for fun,having fun,Gold,9.0,22,Unemployed / between jobs,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,22.0,20,6,Mild,Neutral,Mild Anxiety,4.0,Germany,Germany,DEU,DEU
748,League of Legends,PC,10.0,I play for fun,having fun,Gold,10.0,26,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,14.0,10,11,None,Satisfied,Moderate Anxiety,1.0,USA,USA,USA,USA
755,League of Legends,PC,10.0,I play for fun,having fun,Platinum,0.0,18,Student at school,None,Multiplayer - online - with real life friends,9.0,23,4,None,Slightly Dissatisfied,Minimal Anxiety,2.0,Netherlands,Philippines,NLD,PHL
761,League of Legends,PC,10.0,I play for fun,winning,Diamond,5.0,19,Student at school,None,Multiplayer - online - with strangers,48.0,13,6,Severe,Satisfied,Mild Anxiety,2.0,Poland,Poland,POL,POL
763,Other,PC,2.0,I play for fun,relaxing,Platinum,1.0,18,Student at school,None,Singleplayer,13.0,9,2,None,Extremely Satisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
772,League of Legends,PC,3.0,I play for fun,improving,Silver,10.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,23.0,24,11,Mild,Slightly Dissatisfied,Moderate Anxiety,2.0,Canada,China,CAN,CHN
788,Starcraft 2,PC,2.0,I play for fun,improving,Gold,3.0,33,Employed,Master (or equivalent),Multiplayer - online - with strangers,8.0,17,5,None,Slightly Satisfied,Mild Anxiety,2.0,Poland,Poland,POL,POL
798,League of Legends,PC,15.0,I play for fun,improving,Gold,10.0,18,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,16.0,15,8,None,Slightly Satisfied,Mild Anxiety,4.0,France,France,FRA,FRA
800,League of Legends,PC,35.0,I play for fun,improving,Gold,12.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,21.0,21,6,Mild,Slightly Dissatisfied,Mild Anxiety,3.0,Netherlands,Netherlands,NLD,NLD
805,League of Legends,PC,10.0,I play for fun,improving,Gold,15.0,22,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,11.0,27,7,None,Dissatisfied,Mild Anxiety,1.0,Bulgaria,Bulgaria,BGR,BGR
814,Counter Strike,PC,35.0,I play for fun,improving,Gold,8.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,18.0,27,1,None,Dissatisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
824,Other,PC,30.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Platinum,6.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,50.0,20,10,Severe,Neutral,Moderate Anxiety,1.0,Australia,Australia,AUS,AUS
825,Other,"Console (PS, Xbox, ...)",28.0,I play for fun,winning,Gold,10.0,23,Employed,Bachelor (or equivalent),Singleplayer,22.0,25,6,Mild,Slightly Dissatisfied,Mild Anxiety,2.0,Netherlands,Unknown,NLD,
856,League of Legends,PC,10.0,I play for fun,improving,Silver,10.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,25.0,28,5,Mild,Dissatisfied,Mild Anxiety,2.0,USA,USA,USA,USA
860,League of Legends,PC,40.0,I play for fun,improving,Platinum,25.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,18.0,29,1,None,Dissatisfied,Minimal Anxiety,1.0,USA,USA,USA,USA
863,League of Legends,PC,25.0,I play for fun,improving,Bronze,1.0,29,Employed,High school diploma (or equivalent),Multiplayer - online - with strangers,52.0,19,6,Very Severe,Slightly Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
873,League of Legends,PC,25.0,I play for fun,having fun,Platinum,25.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,22.0,8,5,Mild,Extremely Satisfied,Mild Anxiety,1.0,Slovenia,Slovenia,SVN,SVN
886,World of Warcraft,PC,30.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond,10.0,23,Employed,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,24.0,9,8,Mild,Extremely Satisfied,Mild Anxiety,3.0,Poland,Poland,POL,POL
888,League of Legends,PC,70.0,I earn a living by playing this game,improving,Master,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,17.0,5,10,None,Extremely Satisfied,Moderate Anxiety,1.0,Sweden,Czech Republic,SWE,CZE
899,Other,PC,21.0,I play for fun,having fun,Silver,15.0,22,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with strangers,15.0,18,9,None,Slightly Satisfied,Mild Anxiety,4.0,UK,Romania,GBR,ROU
