,Game,Platform,Hours,earnings,whyplay,League,streams,Age,Work,Degree,Playstyle,SPIN_T,SWL_T,GAD_T,Social_Anxiety,Life_Satisfaction,Anxiety_Level,Narcissism,Residence,Birthplace,Residence_ISO3,Birthplace_ISO3
3241,League of Legends,PC,20.0,I play for fun,having fun,Gold,2.0,24,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,17.0,31,3,None,Extremely Dissatisfied,Minimal Anxiety,1.0,Singapore,France,SGP,FRA
3252,League of Legends,PC,12.0,I play for fun,improving,Silver,4.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,46.0,25,2,Severe,Slightly Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
3256,Skyrim,PC,8.0,I play for fun,having fun,Platinum,2.0,18,Student at college / university,Bachelor (or equivalent),Singleplayer,18.0,30,0,None,Dissatisfied,Minimal Anxiety,3.0,Hong Kong,Hong Kong,HKG,HKG
3271,League of Legends,PC,25.0,I play for fun,winning,Gold,2.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,22.0,15,2,Mild,Slightly Satisfied,Minimal Anxiety,3.0,USA,USA,USA,USA
3280,Starcraft 2,PC,30.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Grandmaster,8.0,19,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,22.0,27,4,Mild,Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
3290,League of Legends,PC,20.0,I play for fun,having fun,Gold,15.0,21,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,12.0,28,3,None,Dissatisfied,Minimal Anxiety,2.0,Germany,Germany,DEU,DEU
3292,League of Legends,PC,20.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Master,2.0,19,Student at college / university,Bachelor (or equivalent),Multiplayer - online - with real life friends,10.0,14,6,None,Satisfied,Mild Anxiety,2.0,Poland,Poland,POL,POL
3296,League of Legends,PC,10.0,I play for fun,relaxing,Platinum,20.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,4.0,29,0,None,Dissatisfied,Minimal Anxiety,2.0,Germany,Germany,DEU,DEU
3304,League of Legends,PC,25.0,I play for fun,improving,Platinum,5.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,27.0,18,5,Mild,Slightly Satisfied,Mild Anxiety,4.0,France,France,FRA,FRA
3306,League of Legends,PC,10.0,I play for fun,winning,Platinum,20.0,24,Employed,High school diploma (or equivalent),Multiplayer - online - with real life friends,10.0,15,6,None,Slightly Satisfied,Mild Anxiety,3.0,Belgium,Belgium,BEL,BEL
3308,League of Legends,PC,20.0,I play for fun,improving,Platinum,20.0,32,Employed,Master (or equivalent),Multiplayer - online - with strangers,17.0,16,21,None,Slightly Satisfied, Severe Anxiety,2.0,Germany,Germany,DEU,DEU
3309,League of Legends,PC,10.0,I play for fun,improving,Platinum,10.0,18,Student at school,None,Multiplayer - online - with strangers,2.0,10,1,None,Satisfied,Minimal Anxiety,2.0,Canada,France,CAN,FRA
3312,League of Legends,PC,40.0,I play for fun,improving,Platinum,15.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with strangers,41.0,24,8,Severe,Slightly Dissatisfied,Mild Anxiety,1.0,Argentina,Argentina,ARG,ARG
3314,League of Legends,PC,20.0,I play for fun,improving,Silver,20.0,20,Student at school,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,9.0,14,1,None,Satisfied,Minimal Anxiety,1.0,Portugal,Portugal,PRT,PRT
3317,Counter Strike,PC,10.0,I play for fun,having fun,Silver,0.0,18,Student at school,None,Multiplayer - online - with real life friends,34.0,7,16,Moderate,Extremely Satisfied, Severe Anxiety,1.0,Germany,Germany,DEU,DEU
3322,League of Legends,PC,15.0,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Platinum,10.0,19,Student at school,High school diploma (or equivalent),Multiplayer - online - with real life friends,11.0,25,1,None,Slightly Dissatisfied,Minimal Anxiety,1.0,Sweden,Sweden,SWE,SWE
3328,League of Legends,PC,30.0,I play for fun,improving,Gold,10.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,2.0,20,0,None,Neutral,Minimal Anxiety,1.0,USA,USA,USA,USA
3331,League of Legends,PC,20.0,I play for fun,having fun,Silver,2.0,18,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,28.0,23,3,Mild,Slightly Dissatisfied,Minimal Anxiety,1.0,Germany,Germany,DEU,DEU
3332,League of Legends,PC,10.0,I play for fun,improving,Bronze,10.0,20,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,41.0,21,0,Severe,Slightly Dissatisfied,Minimal Anxiety,2.0,USA,USA,USA,USA
3336,League of Legends,PC,20.0,I play for fun,improving,Platinum,15.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with online acquaintances or teammates,34.0,8,7,Moderate,Extremely Satisfied,Mild Anxiety,1.0,USA,USA,USA,USA
3341,League of Legends,PC,16.0,I play for fun,having fun,Silver,16.0,23,Student at college / university,Master (or equivalent),Multiplayer - online - with real life friends,14.0,30,5,None,Dissatisfied,Mild Anxiety,5.0,France,Unknown,FRA,
3364,League of Legends,PC,30.0,I play for fun,winning,Silver,10.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,54.0,10,8,Very Severe,Satisfied,Mild Anxiety,1.0,UAE,United Arab Emirates,ARE,ARE
3365,League of Legends,PC,40.0,I play for fun,improving,Silver,2.0,18,Student at school,High school diploma (or equivalent),Multiplayer - online - with strangers,2.0,26,3,None,Dissatisfied,Minimal Anxiety,1.0,UK,UK,GBR,GBR
3376,League of Legends,PC,20.0,I play for fun,having fun,Gold,40.0,24,Student at college / university,High school diploma (or equivalent),Multiplayer - online - with real life friends,7.0,14,2,None,Satisfied,Minimal Anxiety,3.0,Norway,Norway,NOR,NOR
